date,verdict_score,verdict_label,verdict_dir,taiex_chg_pct,taiex_dir
2026-06-18,1,今日中性 ⚪,0,1.28,1
2026-06-19,2,今日小多 🟡,1,1.28,1
2026-06-23,3,今日小多 🟡,1,2.75,1
2026-06-24,-5,今日偏空 ⚠️,-1,-2.24,-1
2026-06-25,0,今日中性 ⚪,0,0.46,1
2026-06-26,-1,今日中性 ⚪,0,-3.64,-1
2026-06-29,-1,今日中性 ⚪,0,0.96,1
2026-06-30,3,今日小多 🟡,1,2.5,1
2026-07-01,7,今日偏多 ✅,1,1.94,1
2026-07-02,-3,今日小空 🔴,-1,-0.58,-1
2026-07-03,-2,今日小空 🔴,-1,0.08,1
2026-07-06,-1,今日中性 ⚪,0,-0.48,-1
2026-07-07,0,今日中性 ⚪,0,-2.31,-1
2026-07-08,-4,今日偏空 ⚠️,-1,0.56,1
2026-07-09,-1,今日中性 ⚪,0,-0.83,-1
2026-07-13,1,今日中性 ⚪,0,0.06,1
2026-07-14,-5,今日偏空 ⚠️,-1,-1.42,-1
2026-07-15,1,今日中性 ⚪,0,2.0,1
2026-07-16,1,今日中性 ⚪,0,-0.01,-1
2026-07-17,-5,今日偏空 ⚠️,-1,-6.47,-1
2026-07-20,-1,今日中性 ⚪,0,-0.52,-1
2026-07-21,2,今日小多 🟡,1,4.2,1
2026-07-22,6,今日偏多 ✅,1,1.34,1
2026-07-23,3,今日小多 🟡,1,0.06,1
2026-07-24,-1,今日中性 ⚪,0,-2.67,-1
2026-07-27,-2,今日小空 🔴,-1,-0.05,-1
2026-07-28,-2,今日小空 🔴,-1,-4.65,-1
2026-07-29,-2,今日小空 🔴,-1,-3.76,-1
2026-07-30,-4,今日偏空 ⚠️,-1,-0.26,-1
2026-07-31,5,今日偏多 ✅,1,7.98,1
2026-08-03,2,今日小多 🟡,1,0.62,1
2026-08-04,2,今日小多 🟡,1,-0.06,-1
2026-08-05,7,今日偏多 ✅,1,2.88,1
2026-08-06,4,今日偏多 ✅,1,-0.48,-1
2026-08-07,-3,今日小空 🔴,-1,-0.38,-1
2026-08-10,4,今日偏多 ✅,1,1.59,1
2026-08-11,4,今日偏多 ✅,1,0.43,1
2026-08-12,2,今日小多 🟡,1,0.88,1
2026-08-13,5,今日偏多 ✅,1,1.11,1
2026-08-14,4,今日偏多 ✅,1,-0.46,-1
