date,ticker,bucket,action,composite,l1,l2,l3,l4,l5,confluence_n,near_miss,gate_fail_reason,signal_close,fwd_5d,fwd_10d,fwd_20d
2026-06-16,3363,inventory,TRIM,-39.4,-1.0,-0.25,0.0,0.279,,1,0,,707.0,,,
2026-06-16,2330,watchlist,NO-GO,34.0,0.433,0.35,0.0,0.279,,1,1,L2,2310.0,,,
2026-06-16,2454,watchlist,NO-GO,34.0,0.433,0.35,0.0,0.279,,1,1,L2,4180.0,,,
2026-06-16,3131,watchlist,NO-GO,30.8,0.0,0.7,0.0,0.279,,1,1,L1,3215.0,,,
2026-06-16,00830,watchlist,NO-GO,41.5,0.183,0.8,0.0,0.279,,1,1,L1,92.85,,,
2026-06-18,3131,inventory,ADD,59.7,1.0,0.8,0.0,0.076,,2,0,,3520.0,,,
2026-06-18,3163,inventory,TRIM,-27.6,-0.6,-0.25,0.0,0.076,,1,0,,893.0,,,
2026-06-18,0050,watchlist,GO,50.2,0.6,0.7,0.0,0.076,,2,0,,106.0,,,
2026-06-18,3653,watchlist,NO-GO,42.7,0.752,0.35,0.0,0.076,,1,1,L2,3990.0,,,
2026-06-18,5274,watchlist,GO,43.1,0.412,0.7,0.0,0.076,,2,0,,18960.0,,,
2026-06-18,3037,watchlist,NO-GO,32.4,0.579,0.25,0.0,0.076,,1,1,L2,988.0,,,
2026-06-19,3131,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,3163,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,3363,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,3711,inventory,HOLD,35.3,0.0,0.8,0.0,1.0,,2,1,L1,613.0,,,
2026-06-19,7810,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,2330,watchlist,NO-GO,42.5,0.0,0.7,0.0,1.0,,2,1,L1,2410.0,,,
2026-06-19,0050,watchlist,NO-GO,42.5,0.0,0.7,0.0,1.0,,2,1,L1,107.3,,,
2026-06-19,6239,watchlist,NO-GO,37.5,-0.133,0.7,0.0,1.0,,2,1,L1,363.5,,,
2026-06-19,3324,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,3653,watchlist,NO-GO,30.5,0.033,0.35,0.0,1.0,,1,1,L1+L2,3965.0,,,
2026-06-19,6223,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,5274,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-19,00830,watchlist,NO-GO,42.5,0.0,0.7,0.0,1.0,,2,1,L1,97.0,,,
2026-06-19,8027,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,3131,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,3163,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,3363,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,3711,inventory,HOLD,35.9,0.1,0.7,0.0,1.0,,2,1,L1,613.0,,,
2026-06-23,7810,inventory,HOLD,33.3,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,2330,watchlist,NO-GO,33.1,0.1,0.35,0.0,1.0,,1,1,L1+L2,2410.0,,,
2026-06-23,0050,watchlist,NO-GO,46.2,0.1,0.7,0.0,1.0,,2,1,L1,107.3,,,
2026-06-23,6239,watchlist,NO-GO,37.5,-0.133,0.7,0.0,1.0,,2,1,L1,363.5,,,
2026-06-23,3324,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,6223,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,2454,watchlist,NO-GO,33.1,0.1,0.35,0.0,1.0,,1,1,L1+L2,4390.0,,,
2026-06-23,5274,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,00830,watchlist,NO-GO,33.1,0.1,0.35,0.0,1.0,,1,1,L1+L2,97.0,,,
2026-06-23,8027,watchlist,NO-GO,65.2,,,0.0,1.0,,1,1,L1+L2,,,,
2026-06-23,2359,watchlist,NO-GO,36.6,0.1,0.8,0.0,0.17,,1,1,L1,136.5,,,
